start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x2012,8,dw,float16,mem,512,0x1804,0.00196,0x180a,0.001972,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xa9f9,8,dw,float16,mem,512,0x179b,0.001857,0x17a6,0.001867,-1.05e-05,1.05e-05
-0.1,0.1,-0.1 to 0.1,0xac89,8,dw,float16,mem,512,0x176e,0.001814,0x1777,0.001822,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x21ac,8,dw,float16,mem,512,0x1808,0.001968,0x180d,0.001978,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x9f63,8,dw,float16,mem,512,0x17f0,0.001938,0x17f4,0.001942,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xac2d,8,dw,float16,mem,512,0x177d,0.001828,0x1782,0.001833,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xad13,8,dw,float16,mem,512,0x175f,0.0018,0x1767,0.001807,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xade2,8,dw,float16,mem,512,0x1749,0.001779,0x174f,0.001784,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x29da,8,dw,float16,mem,512,0x182d,0.002039,0x1832,0.002048,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2721,8,dw,float16,mem,512,0x181d,0.002008,0x181f,0.002012,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xab3c,8,dw,float16,mem,512,0x178c,0.0018425,0x1792,0.001848,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa149,8,dw,float16,mem,512,0x17e9,0.001931,0x17ee,0.001936,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xac85,8,dw,float16,mem,512,0x176e,0.001814,0x1777,0.001822,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0xae23,8,dw,float16,mem,512,0x1742,0.001772,0x1748,0.001778,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xaa46,8,dw,float16,mem,512,0x179b,0.001857,0x17a1,0.001863,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x1864,8,dw,float16,mem,512,0x1800,0.001953,0x1804,0.00196,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xaca4,8,dw,float16,mem,512,0x176e,0.001814,0x1774,0.00182,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x256b,8,dw,float16,mem,512,0x1815,0.001993,0x1818,0.001999,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2cd8,8,dw,float16,mem,512,0x184f,0.002104,0x1853,0.002111,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xae46,8,dw,float16,mem,512,0x173b,0.001765,0x1744,0.001774,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x2d71,8,dw,float16,mem,512,0x1858,0.002121,0x185d,0.00213,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x9402,8,dw,float16,mem,512,0x17f8,0.0019455,0x1801,0.001955,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x1437,8,dw,float16,mem,512,0x1800,0.001953,0x1803,0.001959,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2348,8,dw,float16,mem,512,0x180c,0.001976,0x1811,0.001986,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa85a,8,dw,float16,mem,512,0x17ba,0.001886,0x17bf,0.001891,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xada9,8,dw,float16,mem,512,0x1750,0.001785,0x1756,0.001791,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x27f7,8,dw,float16,mem,512,0x181d,0.002008,0x1822,0.002018,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x9f3c,8,dw,float16,mem,512,0x17f0,0.001938,0x17f5,0.001943,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x9f4b,8,dw,float16,mem,512,0x17f0,0.001938,0x17f4,0.001942,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xad15,8,dw,float16,mem,512,0x175f,0.0018,0x1767,0.001807,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2820,8,dw,float16,mem,512,0x1821,0.002016,0x1824,0.002022,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x1c71,8,dw,float16,mem,512,0x1804,0.00196,0x1806,0.001965,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa56d,8,dw,float16,mem,512,0x17d1,0.001908,0x17d8,0.001915,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa2ca,8,dw,float16,mem,512,0x17e1,0.001924,0x17e8,0.00193,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2b80,8,dw,float16,mem,512,0x183a,0.002064,0x1840,0.002075,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0x9c95,8,dw,float16,mem,512,0x17f0,0.001938,0x17fa,0.001947,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x257f,8,dw,float16,mem,512,0x1815,0.001993,0x1818,0.001999,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x9ad8,8,dw,float16,mem,512,0x17f8,0.0019455,0x17fc,0.001949,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa03a,8,dw,float16,mem,512,0x17e9,0.001931,0x17f2,0.00194,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c01,8,dw,float16,mem,512,0x183e,0.002071,0x1844,0.002083,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xae23,8,dw,float16,mem,512,0x1742,0.001772,0x1748,0.001778,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x25fe,8,dw,float16,mem,512,0x1815,0.001993,0x181a,0.002003,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xad35,8,dw,float16,mem,512,0x175f,0.0018,0x1763,0.001803,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa942,8,dw,float16,mem,512,0x17aa,0.001871,0x17b1,0.001878,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa630,8,dw,float16,mem,512,0x17c9,0.001901,0x17d2,0.001909,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c85,8,dw,float16,mem,512,0x1847,0.002089,0x184d,0.0021,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0x2ad0,8,dw,float16,mem,512,0x1836,0.002056,0x183a,0.002064,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xab27,8,dw,float16,mem,512,0x178c,0.0018425,0x1794,0.00185,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa97d,8,dw,float16,mem,512,0x17a3,0.001864,0x17ad,0.001874,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xac83,8,dw,float16,mem,512,0x176e,0.001814,0x1778,0.001823,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa9d0,8,dw,float16,mem,512,0x17a3,0.001864,0x17a8,0.001869,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x9b58,8,dw,float16,mem,512,0x17f8,0.0019455,0x17fc,0.001949,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x1c4c,8,dw,float16,mem,512,0x1804,0.00196,0x1806,0.001965,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa990,8,dw,float16,mem,512,0x17a3,0.001864,0x17ac,0.001873,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x9c58,8,dw,float16,mem,512,0x17f0,0.001938,0x17fa,0.001947,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xad9c,8,dw,float16,mem,512,0x1750,0.001785,0x1757,0.001792,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2600,8,dw,float16,mem,512,0x1815,0.001993,0x181a,0.002003,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xae4e,8,dw,float16,mem,512,0x173b,0.001765,0x1743,0.001773,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2bd2,8,dw,float16,mem,512,0x183e,0.002071,0x1843,0.00208,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x9e8b,8,dw,float16,mem,512,0x17f0,0.001938,0x17f6,0.001944,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xacaf,8,dw,float16,mem,512,0x176e,0.001814,0x1772,0.001818,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xac8b,8,dw,float16,mem,512,0x176e,0.001814,0x1777,0.001822,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x24de,8,dw,float16,mem,512,0x1810,0.001984,0x1816,0.001995,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xa924,8,dw,float16,mem,512,0x17aa,0.001871,0x17b2,0.001879,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa569,8,dw,float16,mem,512,0x17d1,0.001908,0x17d8,0.001915,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2e3a,8,dw,float16,mem,512,0x1865,0.002146,0x186b,0.002157,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0x2911,8,dw,float16,mem,512,0x1829,0.002031,0x182b,0.002035,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x230d,8,dw,float16,mem,512,0x180c,0.001976,0x1810,0.001984,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xa8b1,8,dw,float16,mem,512,0x17b2,0.001879,0x17b9,0.001885,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c5a,8,dw,float16,mem,512,0x1847,0.002089,0x184a,0.002094,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c50,8,dw,float16,mem,512,0x1847,0.002089,0x1849,0.002092,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa8e0,8,dw,float16,mem,512,0x17b2,0.001879,0x17b6,0.001883,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2d31,8,dw,float16,mem,512,0x1854,0.002113,0x1859,0.002123,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x1e7f,8,dw,float16,mem,512,0x1804,0.00196,0x1809,0.00197,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x26a8,8,dw,float16,mem,512,0x1819,0.002,0x181d,0.002008,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x204e,8,dw,float16,mem,512,0x1808,0.001968,0x180b,0.001974,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xac19,8,dw,float16,mem,512,0x177d,0.001828,0x1784,0.001835,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x203b,8,dw,float16,mem,512,0x1808,0.001968,0x180a,0.001972,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa8a8,8,dw,float16,mem,512,0x17b2,0.001879,0x17ba,0.001886,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2de3,8,dw,float16,mem,512,0x1861,0.002138,0x1865,0.002146,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c05,8,dw,float16,mem,512,0x183e,0.002071,0x1844,0.002083,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xae08,8,dw,float16,mem,512,0x1742,0.001772,0x174b,0.0017805,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x25ce,8,dw,float16,mem,512,0x1815,0.001993,0x1819,0.002,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x080b,8,dw,float16,mem,512,0x17f8,0.0019455,0x1802,0.001957,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xae58,8,dw,float16,mem,512,0x173b,0.001765,0x1742,0.001772,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa96d,8,dw,float16,mem,512,0x17aa,0.001871,0x17ae,0.001875,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x28db,8,dw,float16,mem,512,0x1825,0.002024,0x182a,0.002033,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x258b,8,dw,float16,mem,512,0x1815,0.001993,0x1818,0.001999,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xae3e,8,dw,float16,mem,512,0x173b,0.001765,0x1745,0.001775,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2e49,8,dw,float16,mem,512,0x1869,0.002153,0x186c,0.00216,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xaba0,8,dw,float16,mem,512,0x1784,0.001835,0x178d,0.001843,-8.6e-06,8.6e-06
-0.1,0.1,-0.1 to 0.1,0x2add,8,dw,float16,mem,512,0x1836,0.002056,0x183a,0.002064,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2334,8,dw,float16,mem,512,0x180c,0.001976,0x1811,0.001986,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xabdb,8,dw,float16,mem,512,0x1784,0.001835,0x1789,0.00184,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2877,8,dw,float16,mem,512,0x1821,0.002016,0x1826,0.002026,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xad9c,8,dw,float16,mem,512,0x1750,0.001785,0x1757,0.001792,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c62,8,dw,float16,mem,512,0x1847,0.002089,0x184b,0.002096,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x1ea0,8,dw,float16,mem,512,0x1804,0.00196,0x1809,0.00197,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xaa45,8,dw,float16,mem,512,0x179b,0.001857,0x17a1,0.001863,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa6b3,8,dw,float16,mem,512,0x17c9,0.001901,0x17ce,0.001905,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x290d,8,dw,float16,mem,512,0x1829,0.002031,0x182b,0.002035,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2800,8,dw,float16,mem,512,0x181d,0.002008,0x1823,0.00202,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0xa9c7,8,dw,float16,mem,512,0x17a3,0.001864,0x17a9,0.00187,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c99,8,dw,float16,mem,512,0x184b,0.002096,0x184e,0.002102,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa1ca,8,dw,float16,mem,512,0x17e9,0.001931,0x17ec,0.001934,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0xa998,8,dw,float16,mem,512,0x17a3,0.001864,0x17ab,0.001872,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x224c,8,dw,float16,mem,512,0x180c,0.001976,0x180f,0.001982,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c8a,8,dw,float16,mem,512,0x184b,0.002096,0x184d,0.0021,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x1f32,8,dw,float16,mem,512,0x1804,0.00196,0x1809,0.00197,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2b30,8,dw,float16,mem,512,0x183a,0.002064,0x183d,0.00207,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x243c,8,dw,float16,mem,512,0x1810,0.001984,0x1813,0.00199,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xae0d,8,dw,float16,mem,512,0x1742,0.001772,0x174a,0.00178,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2928,8,dw,float16,mem,512,0x1829,0.002031,0x182c,0.002037,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xad57,8,dw,float16,mem,512,0x1758,0.001793,0x175f,0.0018,-6.7e-06,6.7e-06
