start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x248f,8,dw,float16,mem,512,0x1815,0.001993,0x1814,0.001991,1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xacd1,8,dw,float16,mem,512,0x176e,0.001814,0x176f,0.001815,-9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0x2b3d,8,dw,float16,mem,512,0x183e,0.002071,0x183e,0.002071,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x2e4b,8,dw,float16,mem,512,0x186e,0.002163,0x186c,0.00216,3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa940,8,dw,float16,mem,512,0x17b2,0.001879,0x17b1,0.001878,9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0xa828,8,dw,float16,mem,512,0x17c1,0.001893,0x17c2,0.001894,-9.5e-07,9.5e-07
-0.1,0.1,-0.1 to 0.1,0x2cd6,8,dw,float16,mem,512,0x1854,0.002113,0x1852,0.00211,3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2e08,8,dw,float16,mem,512,0x1869,0.002153,0x1867,0.00215,3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xab00,8,dw,float16,mem,512,0x179b,0.001857,0x1796,0.001852,4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xaa43,8,dw,float16,mem,512,0x17a3,0.001864,0x17a1,0.001863,1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2d71,8,dw,float16,mem,512,0x185c,0.002129,0x185d,0.00213,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x264a,8,dw,float16,mem,512,0x181d,0.002008,0x181b,0.002005,3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa8f6,8,dw,float16,mem,512,0x17ba,0.001886,0x17b5,0.001882,4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xab8e,8,dw,float16,mem,512,0x1793,0.001849,0x178e,0.001844,4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xa3ea,8,dw,float16,mem,512,0x17e9,0.001931,0x17e4,0.001926,4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2c9d,8,dw,float16,mem,512,0x184f,0.002104,0x184f,0.002104,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x2d4a,8,dw,float16,mem,512,0x185c,0.002129,0x185a,0.002125,3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xac84,8,dw,float16,mem,512,0x177d,0.001828,0x1777,0.001822,5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2a50,8,dw,float16,mem,512,0x1836,0.002056,0x1836,0.002056,0.0,0.0
-0.1,0.1,-0.1 to 0.1,0x2947,8,dw,float16,mem,512,0x182d,0.002039,0x182d,0.002039,0.0,0.0
