start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x1c25,8,dw,float16,mem,512,0x17f0,0.001938,0x17f4,0.001942,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xaa01,8,dw,float16,mem,512,0x178c,0.0018425,0x178f,0.001845,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0x2521,8,dw,float16,mem,512,0x1808,0.001968,0x180b,0.001974,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xa955,8,dw,float16,mem,512,0x1793,0.001849,0x1799,0.001855,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d3a,8,dw,float16,mem,512,0x184b,0.002096,0x184c,0.002098,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0x2473,8,dw,float16,mem,512,0x1804,0.00196,0x1808,0.001968,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x28c6,8,dw,float16,mem,512,0x1819,0.002,0x181d,0.002008,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2cbc,8,dw,float16,mem,512,0x1842,0.002079,0x1844,0.002083,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xad47,8,dw,float16,mem,512,0x1749,0.001779,0x174c,0.001781,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0xae55,8,dw,float16,mem,512,0x1725,0.001744,0x172d,0.001752,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2d65,8,dw,float16,mem,512,0x184b,0.002096,0x184f,0.002104,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xae3a,8,dw,float16,mem,512,0x172c,0.001751,0x1730,0.001755,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xab87,8,dw,float16,mem,512,0x1775,0.001821,0x1778,0.001823,-2.86e-06,2.86e-06
-0.1,0.1,-0.1 to 0.1,0xa94d,8,dw,float16,mem,512,0x1793,0.001849,0x179a,0.001856,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2459,8,dw,float16,mem,512,0x1804,0.00196,0x1808,0.001968,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2c7b,8,dw,float16,mem,512,0x183e,0.002071,0x183f,0.002073,-1.9e-06,1.9e-06
-0.1,0.1,-0.1 to 0.1,0xa376,8,dw,float16,mem,512,0x17c9,0.001901,0x17ce,0.001905,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0xacf8,8,dw,float16,mem,512,0x1750,0.001785,0x1755,0.00179,-4.77e-06,4.77e-06
