start_range, end_range, start_end, input_value, parallelism, accuracy, precision, storage, num_inp_vals, observed, obs_dec, expected, exp_dec, obs_dec-exp_dec, abs_err
-0.1,0.1,-0.1 to 0.1,0x1ae3,8,dw,float16,mem,512,0x17f8,0.0019455,0x1801,0.001955,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x2e02,8,dw,float16,mem,512,0x1861,0.002138,0x1863,0.002142,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0xa80f,8,dw,float16,mem,512,0x17b2,0.001879,0x17bc,0.001888,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa995,8,dw,float16,mem,512,0x179b,0.001857,0x17a5,0.001866,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa84e,8,dw,float16,mem,512,0x17b2,0.001879,0x17b8,0.001884,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2d8b,8,dw,float16,mem,512,0x1858,0.002121,0x185b,0.002127,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2c7b,8,dw,float16,mem,512,0x1842,0.002079,0x1848,0.00209,-1.144e-05,1.144e-05
-0.1,0.1,-0.1 to 0.1,0x28dd,8,dw,float16,mem,512,0x1821,0.002016,0x1826,0.002026,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa5bf,8,dw,float16,mem,512,0x17c9,0.001901,0x17cf,0.001906,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xad13,8,dw,float16,mem,512,0x1758,0.001793,0x1760,0.001801,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xad2a,8,dw,float16,mem,512,0x1758,0.001793,0x175d,0.001798,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2d92,8,dw,float16,mem,512,0x1858,0.002121,0x185b,0.002127,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0x2939,8,dw,float16,mem,512,0x1825,0.002024,0x1829,0.002031,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0xac76,8,dw,float16,mem,512,0x176e,0.001814,0x1772,0.001818,-3.8e-06,3.8e-06
-0.1,0.1,-0.1 to 0.1,0x2db1,8,dw,float16,mem,512,0x1858,0.002121,0x185d,0.00213,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa4c8,8,dw,float16,mem,512,0x17d1,0.001908,0x17d6,0.001913,-4.77e-06,4.77e-06
-0.1,0.1,-0.1 to 0.1,0x2955,8,dw,float16,mem,512,0x1825,0.002024,0x182a,0.002033,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0x291f,8,dw,float16,mem,512,0x1825,0.002024,0x1828,0.00203,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xab3f,8,dw,float16,mem,512,0x1784,0.001835,0x178b,0.001842,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0xa5bc,8,dw,float16,mem,512,0x17c9,0.001901,0x17cf,0.001906,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xac29,8,dw,float16,mem,512,0x1775,0.001821,0x177b,0.001826,-5.7e-06,5.7e-06
-0.1,0.1,-0.1 to 0.1,0xadd7,8,dw,float16,mem,512,0x1742,0.001772,0x1749,0.001779,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x2871,8,dw,float16,mem,512,0x181d,0.002008,0x1822,0.002018,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa8c8,8,dw,float16,mem,512,0x17aa,0.001871,0x17b1,0.001878,-6.7e-06,6.7e-06
-0.1,0.1,-0.1 to 0.1,0x24b1,8,dw,float16,mem,512,0x180c,0.001976,0x1811,0.001986,-9.54e-06,9.54e-06
-0.1,0.1,-0.1 to 0.1,0xa2cd,8,dw,float16,mem,512,0x17d9,0.001916,0x17e1,0.001924,-7.6e-06,7.6e-06
-0.1,0.1,-0.1 to 0.1,0x2cd7,8,dw,float16,mem,512,0x184b,0.002096,0x184e,0.002102,-5.7e-06,5.7e-06
